Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Year,Sales,Critic_Score_boxcox,User_Score_boxcox
4267,Hotel Dusk: Room 215,2,5,1,27,25,8.0,6.9,2007.0,0.54,2.032968794763432,1.1393334684813785
4396,Tales of Symphonia: Dawn of the New World,10,5,13,24,79,6.8,8.3,2008.0,0.52,1.8773837888043774,1.193680474153519
4521,Fire Emblem Warriors,0,5,4,27,88,7.3,9.6,2017.0,0.51,1.945376210998866,1.2324113729573496
4629,Fire Emblem: Radiant Dawn,14,4,13,27,58,7.7,8.5,2007.0,0.49,1.9964279097031141,1.2002538631850523
4814,Silent Hill: Shattered Memories,2,6,13,17,27,7.3,6.8,2009.0,0.47,1.945376210998866,1.1347741517833403
4986,L.A. Noire,2,6,4,30,118,7.9,8.0,2017.0,0.45,2.0209463807291033,1.1833291027698085
5044,Sid Meier's Civilization Revolution,14,4,1,0,42,8.2,7.6,2008.0,0.45,2.056559641105323,1.16851670300383
5210,Doom (2016),11,6,4,5,140,8.2,9.1,2017.0,0.43,2.056559641105323,1.2185684511212578
5404,NiGHTS: Journey of Dreams,7,3,13,31,111,7.0,9.1,2007.0,0.41,1.9051750086008348,1.2185684511212578
5782,Bionic Commando,2,6,15,7,45,7.1,8.0,2009.0,0.38,1.9187678386322737,1.1833291027698085
5890,Castlevania: Order of Ecclesia,7,5,1,17,63,8.2,9.2,2008.0,0.37,2.056559641105323,1.221433422656777
6165,WWE Day of Reckoning 2,3,5,2,37,138,8.3,8.5,2005.0,0.34,2.0681355047937178,1.2002538631850523
6352,Golden Axe: Beast Rider,0,6,15,31,108,4.0,7.0,2008.0,0.33,1.3655360663358929,1.1437879618140283
6438,Folklore,10,5,8,32,49,7.5,8.7,2007.0,0.32,1.9712498725148517,1.2065836290555187
6831,Little King's Story,14,5,13,43,26,8.5,9.0,2009.0,0.29,2.0908656916242108,1.2156525053377367
6948,Dead Rising: Chop Till You Drop,0,6,13,7,19,6.7,7.2,2009.0,0.29,1.8631733327726454,1.1523977108225032
7119,Darksiders,0,6,8,37,136,7.8,8.5,2010.0,0.28,2.008767447051412,1.2002538631850523
7279,The Conduit,11,5,13,31,54,6.6,8.2,2009.0,0.27,1.8487444787622223,1.1902976013190072
7416,Shin Megami Tensei: Devil Survivor,10,5,1,4,6,8.4,8.8,2009.0,0.26,2.079569725380676,1.209661675777561
7423,Deadly Premonition,0,6,15,15,3,6.0,7.8,2010.0,0.26,1.757184108388042,1.1760752893133055
7670,MotoGP '07,9,3,15,37,28,7.7,8.0,2007.0,0.25,1.9964279097031141,1.1833291027698085
7746,Grandia,10,3,6,32,46,8.4,9.0,1999.0,0.25,2.079569725380676,1.2156525053377367
8356,Deadly Creatures,0,5,13,37,93,6.9,6.8,2009.0,0.22,1.8913822923299348,1.1347741517833403
8411,Afrika,2,4,8,25,100,6.0,8.0,2009.0,0.22,1.757184108388042,1.1833291027698085
8454,NBA,13,3,11,32,2,6.4,7.2,2005.0,0.21,1.81920428920658,1.1523977108225032
8765,Dragon Ball: Revenge of King Piccolo,0,4,13,24,7,6.1,8.0,2009.0,0.2,1.7730767461949912,1.1833291027698085
9326,FIFA 07 Soccer,13,3,2,10,33,8.3,7.6,2006.0,0.18,2.0681355047937178,1.16851670300383
9825,Castlevania Judgment,3,5,13,17,64,4.6,7.5,2008.0,0.16,1.5009268693908746,1.1646165300732292
10382,Geist,2,6,2,27,141,6.6,7.6,2005.0,0.15,1.8487444787622223,1.16851670300383
10656,South Park: The Fractured But Whole,10,6,4,39,129,9.5,9.5,2018.0,0.14,2.1968879170204083,1.229736527294403
10804,Valhalla Knights: Eldar Saga,10,5,13,43,61,3.5,7.9,2009.0,0.14,1.2357946669336213,1.1797390349054808
11394,"Snipperclips Plus: Cut It Out, Together!",8,3,4,27,107,8.2,8.5,2017.0,0.12,2.056559641105323,1.2002538631850523
