Rank,Name,Platform,Publisher,Developer,Year,Sales,Sales_scaled,ESRB_Rating_scaled,Genre_scaled,Platform_scaled,Publisher_scaled,Developer_scaled,Year_scaled,Critic_Score_boxcox_scaled,User_Score_boxcox_scaled
452,Fable II,15,21,69,2008.0,3.5,0.0942380183091007,1.0,0.7142857142857142,0.8333333333333333,0.4883720930232558,0.4825174825174825,0.5454545454545467,0.45235908390724366,0.5105474104105558
459,Battlefield: Bad Company 2,15,11,34,2010.0,3.48,0.09369951534733441,1.0,0.7857142857142857,0.8333333333333333,0.2558139534883721,0.23776223776223776,0.636363636363626,0.45235908390724366,0.5105474104105558
463,Guitar Hero: On Tour,1,1,135,2008.0,3.46,0.0931610123855681,0.33333333333333326,0.3571428571428571,0.05555555555555555,0.023255813953488372,0.9440559440559441,0.5454545454545467,0.3396584665698803,0.448603844854208
505,God of War: Chains of Olympus,11,32,96,2008.0,3.26,0.08777598276790521,1.0,0.0,0.611111111111111,0.7441860465116279,0.6713286713286714,0.5454545454545467,0.4470618335906197,0.5196361088742993
538,Mass Effect 2,15,11,11,2010.0,3.1,0.0834679590737749,1.0,0.7142857142857142,0.8333333333333333,0.2558139534883721,0.07692307692307693,0.636363636363626,0.4779740597177907,0.4913938468435439
546,Heavy Rain,8,32,92,2010.0,3.06,0.08239095315024232,1.0,0.14285714285714285,0.4444444444444444,0.7441860465116279,0.6433566433566433,0.636363636363626,0.4417034123875093,0.4760974655165917
555,Tom Clancy's Splinter Cell,16,39,125,2002.0,3.02,0.08131394722670975,0.6666666666666665,0.0,0.8888888888888888,0.9069767441860465,0.8741258741258742,0.27272727272726627,0.46789725056765674,0.5011395237686023
560,Killzone 2,8,32,52,2009.0,3.02,0.08131394722670975,1.0,0.7857142857142857,0.4444444444444444,0.7441860465116279,0.36363636363636365,0.5909090909090935,0.45759652980642274,0.5105474104105558
561,Crysis,5,11,30,2007.0,3.0,0.08077544426494346,1.0,0.7857142857142857,0.2777777777777778,0.2558139534883721,0.2097902097902098,0.5,0.4627754926326392,0.47080687478001737
573,inFAMOUS,8,32,116,2009.0,2.99,0.08050619278406031,0.6666666666666665,0.0,0.4444444444444444,0.7441860465116279,0.8111888111888111,0.5909090909090935,0.4362824066298535,0.5011395237686023
581,Battlefield: Bad Company 2,8,11,34,2010.0,2.96,0.07969843834141087,1.0,0.7857142857142857,0.4444444444444444,0.2558139534883721,0.23776223776223776,0.636363636363626,0.4470618335906197,0.4863881086091897
584,Street Fighter IV,15,7,17,2009.0,2.95,0.07942918686052773,0.6666666666666665,0.21428571428571427,0.8333333333333333,0.16279069767441862,0.11888111888111888,0.5909090909090935,0.46789725056765674,0.5105474104105558
593,Mass Effect,15,21,11,2007.0,2.91,0.07835218093699516,1.0,0.7142857142857142,0.8333333333333333,0.4883720930232558,0.07692307692307693,0.5,0.4627754926326392,0.5011395237686023
619,Metroid Prime,2,27,99,2002.0,2.84,0.07646742057081313,0.6666666666666665,0.7857142857142857,0.1111111111111111,0.627906976744186,0.6923076923076923,0.27272727272726627,0.4829314677041322,0.5196361088742993
622,BioShock,15,0,0,2007.0,2.83,0.07619816908992999,1.0,0.7857142857142857,0.8333333333333333,0.0,0.0,0.5,0.4829314677041322,0.5196361088742993
